Timestamp,gyrX,gyrY,gyrZ
1579011921841,-0.0010681152,-0.0010681152,-0.003189087
1579011921846,-0.003189087,-0.0010681152,-0.0053253174
1579011921850,-0.0053253174,-0.0010681152,-0.004257202
1579011921855,-0.003189087,-0.0021362305,-0.0063934326
1579011921861,-0.003189087,-0.0010681152,-0.0053253174
1579011921866,-0.0021362305,-0.0021362305,-0.0053253174
1579011921871,-0.003189087,-0.0021362305,-0.003189087
1579011921876,-0.0021362305,-0.0021362305,-0.004257202
1579011921881,-0.0021362305,-0.0021362305,-0.004257202
1579011921886,-0.0021362305,-0.004257202,-0.004257202
1579011921890,-0.0021362305,-0.004257202,-0.004257202
1579011921896,-0.003189087,0.0,-0.004257202
1579011921900,-0.0010681152,0.0,-0.004257202
1579011921907,-0.004257202,-0.0010681152,-0.0053253174
1579011921912,-0.003189087,0.0,-0.003189087
1579011921916,-0.0010681152,-0.0021362305,-0.004257202
1579011921922,-0.0021362305,-0.0021362305,-0.003189087
1579011921927,-0.004257202,-0.0021362305,-0.003189087
1579011921932,-0.003189087,-0.0021362305,-0.0053253174
1579011921937,-0.003189087,-0.0021362305,-0.0053253174
1579011921941,-0.0021362305,-0.003189087,-0.0053253174
1579011921947,-0.0021362305,-0.0021362305,-0.004257202
1579011921951,-0.003189087,0.0,-0.004257202
1579011921957,-0.0010681152,-0.0010681152,-0.0053253174
1579011921961,-0.0010681152,-0.0021362305,-0.007461548
1579011921967,-0.0010681152,-0.0010681152,-0.004257202
1579011921971,-0.0010681152,-0.0010681152,-0.0053253174
1579011921978,-0.0010681152,-0.0021362305,-0.0053253174
1579011921983,-0.0010681152,-0.003189087,-0.0053253174
1579011921988,0.0,-0.004257202,-0.004257202
1579011921993,-0.0021362305,-0.003189087,-0.004257202
1579011921998,-0.003189087,-0.0021362305,-0.0053253174
1579011922002,-0.004257202,-0.0021362305,-0.0053253174
1579011922008,-0.0021362305,0.0,-0.004257202
1579011922012,-0.0021362305,-0.003189087,-0.004257202
1579011922018,-0.003189087,-0.0021362305,-0.004257202
1579011922023,-0.004257202,-0.0010681152,-0.004257202
1579011922028,-0.0021362305,-0.0010681152,-0.007461548
1579011922033,-0.003189087,-0.0021362305,-0.0053253174
1579011922038,-0.003189087,-0.003189087,-0.004257202
1579011922043,-0.003189087,-0.0021362305,-0.004257202
1579011922049,-0.004257202,-0.003189087,-0.0063934326
1579011922053,-0.004257202,-0.0021362305,-0.004257202
1579011922059,-0.0021362305,-0.003189087,-0.003189087
1579011922063,-0.003189087,-0.0010681152,-0.0021362305
1579011922069,-0.003189087,0.0,-0.003189087
1579011922074,-0.0021362305,-0.0021362305,-0.0053253174
1579011922079,-0.0021362305,-0.0021362305,-0.004257202
1579011922084,-0.0021362305,-0.0010681152,-0.004257202
1579011922088,-0.0010681152,-0.0021362305,-0.003189087
1579011922094,-0.003189087,-0.003189087,-0.004257202
1579011922099,-0.003189087,-0.0010681152,-0.004257202
1579011922104,-0.004257202,0.0,-0.004257202
1579011922109,-0.0021362305,-0.0021362305,-0.0053253174
1579011922113,-0.003189087,-0.003189087,-0.004257202
1579011922119,-0.0053253174,-0.0021362305,-0.0053253174
1579011922124,-0.004257202,-0.0021362305,-0.0053253174
1579011922130,-0.004257202,-0.0021362305,-0.003189087
1579011922135,-0.0021362305,-0.0021362305,-0.0021362305
1579011922140,-0.003189087,-0.0021362305,-0.0021362305
1579011922145,-0.0021362305,-0.0021362305,-0.004257202
1579011922150,-0.0010681152,-0.003189087,-0.0063934326
1579011922154,-0.003189087,-0.0021362305,-0.0053253174
1579011922160,-0.003189087,-0.0010681152,-0.004257202
1579011922164,-0.003189087,-0.0021362305,-0.004257202
1579011922169,-0.003189087,-0.0021362305,-0.0053253174
1579011922175,-0.0010681152,-0.0010681152,-0.004257202
1579011922180,-0.003189087,-0.0021362305,-0.003189087
1579011922185,-0.0021362305,-0.0021362305,-0.004257202
1579011922190,-0.0021362305,-0.0021362305,-0.004257202
1579011922195,-0.004257202,-0.0010681152,-0.0063934326
1579011922200,-0.004257202,-0.0021362305,-0.004257202
1579011922206,-0.004257202,-0.0021362305,-0.0053253174
1579011922210,-0.0021362305,-0.0010681152,-0.003189087
1579011922216,-0.003189087,-0.003189087,-0.003189087
1579011922221,-0.003189087,-0.0021362305,-0.0053253174
1579011922225,-0.003189087,-0.0010681152,-0.003189087
1579011922231,-0.0021362305,-0.0010681152,-0.0053253174
1579011922235,0.0,-0.0021362305,-0.004257202
1579011922241,-0.0021362305,-0.003189087,-0.0053253174
1579011922245,-0.0010681152,-0.0021362305,-0.004257202
1579011922250,-0.003189087,-0.0021362305,-0.004257202
1579011922256,-0.0021362305,-0.0021362305,-0.004257202
1579011922261,-0.0021362305,-0.0021362305,-0.003189087
1579011922267,-0.0021362305,-0.0010681152,-0.003189087
1579011922272,0.0,-0.003189087,-0.004257202
1579011922277,-0.0021362305,-0.0010681152,-0.004257202
1579011922281,-0.0010681152,-0.0010681152,-0.0063934326
1579011922287,0.0,-0.0021362305,-0.0053253174
1579011922292,0.0,-0.0021362305,-0.0053253174
1579011922297,0.0,-0.0010681152,-0.004257202
1579011922302,-0.0010681152,-0.0021362305,-0.004257202
1579011922307,0.0,-0.0021362305,-0.004257202
1579011922311,0.0,-0.0021362305,-0.0053253174
1579011922317,0.0,0.0,-0.004257202
1579011922322,0.0021362305,-0.0021362305,-0.0021362305
1579011922326,-0.0010681152,-0.0021362305,-0.004257202
1579011922332,-0.004257202,-0.0021362305,-0.004257202
1579011922337,-0.0021362305,-0.0021362305,-0.003189087
1579011922343,-0.003189087,-0.003189087,-0.0053253174
1579011922347,-0.004257202,-0.0010681152,-0.0053253174
1579011922353,-0.003189087,-0.0010681152,-0.004257202
1579011922358,-0.0010681152,0.0,-0.007461548
1579011922363,-0.0010681152,-0.0021362305,-0.01171875
1579011922367,-0.003189087,-0.0021362305,-0.01171875
1579011922373,-0.0021362305,-0.0010681152,-0.01171875
1579011922378,0.0,0.0,-0.01171875
1579011922383,0.0,0.0,-0.008529663
1579011922388,0.0,0.0,-0.008529663
1579011922393,-0.004257202,0.0,-0.007461548
1579011922398,-0.0053253174,-0.0010681152,-0.008529663
1579011922402,-0.0053253174,-0.0010681152,-0.007461548
1579011922407,-0.0021362305,0.0021362305,-0.0063934326
1579011922414,-0.0021362305,0.0,-0.007461548
1579011922419,-0.0021362305,-0.0010681152,-0.008529663
1579011922424,-0.0021362305,0.0,-0.0053253174
1579011922428,-0.003189087,0.0,-0.007461548
1579011922433,-0.0021362305,-0.0021362305,-0.0063934326
1579011922438,0.0010681152,-0.0010681152,-0.004257202
1579011922444,0.0,0.0,-0.0053253174
1579011922449,-0.003189087,-0.0021362305,-0.0053253174
1579011922453,-0.0010681152,-0.0021362305,-0.0053253174
1579011922458,-0.003189087,-0.0010681152,-0.0053253174
1579011922464,-0.004257202,-0.0021362305,-0.004257202
1579011922469,-0.0021362305,-0.0021362305,-0.003189087
1579011922473,-0.003189087,-0.0010681152,-0.0021362305
1579011922479,-0.003189087,-0.0010681152,-0.003189087
1579011922485,-0.003189087,-0.0010681152,-0.003189087
1579011922490,-0.0021362305,-0.0010681152,-0.004257202
