Timestamp,RSSI,Estimote TLM packet
1579011921796,-74,22f32a65edd388bbd400fcfe3e4182f1ffffffff
1579011921849,-62,22992074a3a75b01dd000502410481f0ffffffff
1579011921867,-69,227897b2192cd1330e000203408168f0ffffffff
1579011921899,-64,22c7f00010b342cf9e000100420a41f1ffffffff
1579011921904,-63,2246846e6187678448000002405649f1ffffffff
1579011921936,-65,227bb8ba833ded2db900ff013e0181f0ffffffff
1579011921940,-64,223c53d934182ed0910002ff3f0283f0ffffffff
1579011921958,-73,223e03d2aaf4265aa50000ff420381f0ffffffff
1579011921990,-73,22318da9517131bfab00f3fa3f0283f0ffffffff
1579011922063,-62,22992074a3a75b01dd000500410481f0ffffffff
1579011922094,-69,227897b2192cd1330e000304408168f0ffffffff
1579011922112,-63,22c7f00010b342cf9e000100430a41f1ffffffff
1579011922125,-63,2246846e6187678448000003405649f1ffffffff
1579011922152,-65,227bb8ba833ded2db900ff003e0181f0ffffffff
1579011922160,-64,223c53d934182ed0910001fe3f0283f0ffffffff
1579011922169,-70,223e03d2aaf4265aa5000000420381f0ffffffff
1579011922213,-73,22318da9517131bfab00f3fa3d0283f0ffffffff
1579011922227,-64,22eeaf86657d2312d500fffe400181f0ffffffff
1579011922233,-76,22f32a65edd388bbd400fcfe3f4182f1ffffffff
1579011922302,-69,227897b2192cd1330e000203408168f0ffffffff
1579011922329,-63,22c7f00010b342cf9e000001410a41f1ffffffff
1579011922335,-63,2246846e61876784480000033f5649f1ffffffff
1579011922422,-74,22318da9517131bfab00f3fa3e0283f0ffffffff
1579011922457,-63,22eeaf86657d2312d500fffe400181f0ffffffff
1579011922461,-77,22f32a65edd388bbd400fcfe3e4182f1ffffffff
1579011922506,-70,227897b2192cd1330e0003033f8168f0ffffffff
1579011922510,-62,22992074a3a75b01dd000500410481f0ffffffff
1579011922549,-64,2246846e6187678448000003405649f1ffffffff
1579011922551,-63,22c7f00010b342cf9e000001410a41f1ffffffff
1579011922606,-64,223c53d934182ed0910002fe3e0283f0ffffffff
1579011922612,-70,223e03d2aaf4265aa500ff00430381f0ffffffff
1579011922654,-73,22318da9517131bfab00f3fb3e0283f0ffffffff
1579011922677,-75,22f32a65edd388bbd400fdfe3e4182f1ffffffff
1579011922679,-64,22eeaf86657d2312d500fffe400181f0ffffffff
1579011922712,-61,22992074a3a75b01dd000500410481f0ffffffff
1579011922755,-64,2246846e6187678448000002405649f1ffffffff
1579011922773,-63,22c7f00010b342cf9e000100420a41f1ffffffff
1579011922798,-65,227bb8ba833ded2db900ff003e0181f0ffffffff
1579011922821,-64,223c53d934182ed0910002fe3e0283f0ffffffff
1579011922870,-76,22f32a65edd388bbd400fcff3e4182f1ffffffff
1579011922872,-63,22eeaf86657d2312d500fffe420181f0ffffffff
1579011922931,-61,22992074a3a75b01dd000502420481f0ffffffff
1579011922982,-63,2246846e6187678448000003405649f1ffffffff
1579011922996,-63,22c7f00010b342cf9e000101400a41f1ffffffff
1579011923026,-64,227bb8ba833ded2db90000003e0181f0ffffffff
1579011923026,-69,223e03d2aaf4265aa50000ff410381f0ffffffff
1579011923088,-74,22f32a65edd388bbd400fcfe3e4182f1ffffffff
1579011923089,-64,22eeaf86657d2312d500fffe410181f0ffffffff
1579011923144,-61,22992074a3a75b01dd000600400481f0ffffffff
1579011923158,-69,227897b2192cd1330e000303408168f0ffffffff
1579011923197,-64,2246846e61876784480000033f5649f1ffffffff
1579011923206,-63,22c7f00010b342cf9e000000410a41f1ffffffff
1579011923246,-68,223e03d2aaf4265aa5000000410381f0ffffffff
1579011923285,-76,22318da9517131bfab00f3fa3d0283f0ffffffff
1579011923292,-74,22f32a65edd388bbd400fdfe3e4182f1ffffffff
1579011923362,-61,22992074a3a75b01dd000600410481f0ffffffff
1579011923363,-70,227897b2192cd1330e000203418168f0ffffffff
1579011923422,-63,2246846e61876784480000033f5649f1ffffffff
1579011923463,-69,223e03d2aaf4265aa5000000420381f0ffffffff
1579011923504,-73,22f32a65edd388bbd400fcfe3e4182f1ffffffff
1579011923516,-74,22318da9517131bfab00f2fa3f0283f0ffffffff
1579011923577,-62,22992074a3a75b01dd000600400481f0ffffffff
1579011923580,-69,227897b2192cd1330e000303428168f0ffffffff
1579011923640,-64,2246846e61876784480000033e5649f1ffffffff
1579011923642,-63,22c7f00010b342cf9e000001410a41f1ffffffff
1579011923680,-66,227bb8ba833ded2db9000000400181f0ffffffff
1579011923706,-64,223c53d934182ed0910002ff3e0283f0ffffffff
1579011923713,-73,22f32a65edd388bbd400fdff3f4182f1ffffffff
1579011923729,-74,22318da9517131bfab00f3f93f0283f0ffffffff
1579011923757,-64,22eeaf86657d2312d500fffe400181f0ffffffff
1579011923794,-69,227897b2192cd1330e0003033f8168f0ffffffff
1579011923799,-61,22992074a3a75b01dd000600400481f0ffffffff
1579011923860,-63,22c7f00010b342cf9e000000410a41f1ffffffff
1579011923876,-68,223e03d2aaf4265aa5000000420381f0ffffffff
1579011923891,-65,227bb8ba833ded2db90000003e0181f0ffffffff
1579011923915,-65,223c53d934182ed0910001ff3f0283f0ffffffff
1579011923920,-73,22f32a65edd388bbd400fcfe3e4182f1ffffffff
1579011923981,-65,22eeaf86657d2312d500feff410181f0ffffffff
1579011924006,-69,227897b2192cd1330e0002033f8168f0ffffffff
1579011924072,-63,22c7f00010b342cf9e000001400a41f1ffffffff
1579011924078,-63,2246846e61876784480000033f5649f1ffffffff
1579011924092,-68,223e03d2aaf4265aa50000ff420381f0ffffffff
1579011924094,-64,227bb8ba833ded2db900ff013e0181f0ffffffff
1579011924162,-76,22318da9517131bfab00f3fa3d0283f0ffffffff
1579011924196,-65,22eeaf86657d2312d500fffe410181f0ffffffff
1579011924226,-63,22992074a3a75b01dd000600400481f0ffffffff
1579011924231,-70,227897b2192cd1330e000303408168f0ffffffff
1579011924312,-68,223e03d2aaf4265aa5000100430381f0ffffffff
1579011924342,-64,223c53d934182ed0910001ff3f0283f0ffffffff
1579011924359,-75,22f32a65edd388bbd400fcfe3e4182f1ffffffff
1579011924408,-65,22eeaf86657d2312d500ffff400181f0ffffffff
1579011924433,-70,227897b2192cd1330e000303408168f0ffffffff
1579011924439,-60,22992074a3a75b01dd000600400481f0ffffffff
