Timestamp,accX,accY,accZ
1579011921843,-0.29725647,0.22286987,9.8471985
1579011921847,-0.31163025,0.23245239999999998,9.811278999999999
1579011921853,-0.32119749999999997,0.24681091,9.842407000000001
1579011921858,-0.30444336,0.2252655,9.856766
1579011921863,-0.30444336,0.23245239999999998,9.840012
1579011921868,-0.32119749999999997,0.2252655,9.823257
1579011921872,-0.30204773,0.25160217,9.840012
1579011921877,-0.29006958,0.22766113,9.844803
1579011921882,-0.2924652,0.2252655,9.808883999999999
1579011921887,-0.2924652,0.23724365,9.818466
1579011921893,-0.28529358,0.23005676,9.842407000000001
1579011921898,-0.28289795,0.23005676,9.844803
1579011921904,-0.27571106,0.22766113,9.818466
1579011921909,-0.2924652,0.21090698,9.828049
1579011921914,-0.3283844,0.20611572,9.823257
1579011921919,-0.30444336,0.20851135,9.832825
1579011921923,-0.2709198,0.21330261,9.808883999999999
1579011921928,-0.2996521,0.2204895,9.806488
1579011921934,-0.32359314,0.21090698,9.849594
1579011921938,-0.306839,0.23005676,9.840012
1579011921944,-0.2996521,0.23963928,9.856766
1579011921948,-0.2996521,0.26358032,9.866348
1579011921954,-0.30444336,0.23484802,9.842407000000001
1579011921958,-0.2996521,0.23963928,9.823257
1579011921964,-0.28289795,0.20611572,9.813675
1579011921970,-0.31640625,0.2204895,9.856766
1579011921975,-0.33078003,0.24443054,9.844803
1579011921980,-0.2924652,0.23724365,9.863953
1579011921985,-0.30923462,0.21090698,9.832825
1579011921990,-0.2996521,0.21569824,9.83522
1579011921994,-0.31640625,0.21569824,9.7921295
1579011921999,-0.30204773,0.18696594,9.844803
1579011922004,-0.306839,0.20372010000000002,9.873535
1579011922010,-0.3283844,0.2204895,9.828049
1579011922015,-0.2996521,0.21569824,9.808883999999999
1579011922020,-0.30204773,0.21090698,9.851989999999999
1579011922024,-0.31163025,0.2252655,9.849594
1579011922029,-0.28767395,0.21569824,9.861557000000001
1579011922034,-0.31163025,0.23484802,9.823257
1579011922040,-0.32119749999999997,0.23005676,9.866348
1579011922045,-0.29725647,0.21569824,9.840012
1579011922051,-0.30204773,0.20132446,9.787338
1579011922056,-0.30204773,0.21809387,9.823257
1579011922060,-0.2996521,0.24443054,9.873535
1579011922066,-0.29725647,0.22766113,9.813675
1579011922071,-0.2996521,0.22286987,9.851989999999999
1579011922075,-0.30923462,0.2204895,9.837616
1579011922081,-0.29486084,0.23005676,9.859161
1579011922086,-0.31401062,0.2204895,9.861557000000001
1579011922091,-0.28289795,0.21569824,9.837616
1579011922095,-0.28529358,0.19653320000000002,9.854385
1579011922101,-0.2996521,0.19415283,9.828049
1579011922106,-0.31640625,0.18217468,9.859161
1579011922111,-0.2996521,0.21090698,9.890289
1579011922117,-0.30204773,0.21090698,9.844803
1579011922122,-0.28767395,0.23724365,9.828049
1579011922126,-0.306839,0.23484802,9.811278999999999
1579011922132,-0.2996521,0.2252655,9.789734
1579011922137,-0.3283844,0.20851135,9.8471985
1579011922142,-0.29486084,0.2252655,9.830428999999999
1579011922147,-0.31401062,0.23005676,9.796921000000001
1579011922152,-0.2924652,0.23005676,9.811278999999999
1579011922157,-0.31880188,0.21330261,9.880707000000001
1579011922161,-0.32119749999999997,0.23005676,9.832825
1579011922167,-0.3283844,0.21569824,9.825652999999999
1579011922171,-0.32119749999999997,0.20611572,9.899872
1579011922177,-0.31163025,0.23245239999999998,9.873535
1579011922181,-0.30923462,0.20851135,9.825652999999999
1579011922187,-0.30923462,0.23963928,9.854385
1579011922192,-0.28050232,0.24203491,9.854385
1579011922198,-0.28050232,0.24443054,9.83522
1579011922203,-0.29486084,0.24681091,9.854385
1579011922208,-0.27571106,0.23245239999999998,9.840012
1579011922212,-0.30923462,0.2252655,9.825652999999999
1579011922218,-0.29486084,0.20132446,9.813675
1579011922223,-0.2924652,0.21569824,9.813675
1579011922228,-0.2996521,0.21330261,9.799316000000001
1579011922233,-0.32359314,0.23245239999999998,9.818466
1579011922237,-0.34753418,0.23245239999999998,9.840012
1579011922243,-0.32119749999999997,0.23005676,9.849594
1579011922248,-0.2924652,0.21090698,9.832825
1579011922253,-0.29006958,0.21330261,9.832825
1579011922258,-0.32119749999999997,0.21090698,9.837616
1579011922263,-0.27331543,0.22286987,9.832825
1579011922269,-0.31640625,0.23245239999999998,9.828049
1579011922274,-0.30923462,0.19653320000000002,9.844803
1579011922278,-0.29725647,0.19653320000000002,9.808883999999999
1579011922284,-0.32598877,0.21090698,9.83522
1579011922289,-0.32359314,0.2252655,9.866348
1579011922294,-0.31163025,0.23005676,9.861557000000001
1579011922299,-0.29486084,0.23724365,9.823257
1579011922304,-0.29725647,0.2252655,9.828049
1579011922309,-0.29725647,0.24920654,9.873535
1579011922313,-0.27331543,0.22766113,9.875931
1579011922318,-0.30444336,0.23484802,9.899872
1579011922324,-0.30444336,0.23005676,9.883102000000001
1579011922329,-0.31640625,0.24203491,9.844803
1579011922335,-0.31401062,0.21090698,9.837616
1579011922340,-0.306839,0.21090698,9.861557000000001
1579011922344,-0.30923462,0.24203491,9.844803
1579011922350,-0.33317566,0.24203491,9.851989999999999
1579011922355,-0.28289795,0.22766113,9.756210000000001
1579011922360,-0.2637329,0.26597595,9.703536999999999
1579011922365,-0.31401062,0.2252655,9.823257
1579011922370,-0.34992979999999996,0.21809387,10.029160000000001
1579011922375,-0.31401062,0.21569824,10.002823
1579011922380,-0.31880188,0.22286987,9.765792999999999
1579011922385,-0.32119749999999997,0.20611572,9.619750999999999
1579011922389,-0.33078003,0.24203491,9.753815
1579011922394,-0.31163025,0.22286987,10.007614
1579011922400,-0.31163025,0.2204895,10.086609
1579011922405,-0.30923462,0.23963928,9.873535
1579011922411,-0.306839,0.2204895,9.598206
1579011922416,-0.28529358,0.22286987,9.586227000000001
1579011922420,-0.2781067,0.21809387,9.899872
1579011922425,-0.31880188,0.20851135,10.115341
1579011922430,-0.31401062,0.19892883,10.017180999999999
1579011922435,-0.31880188,0.20372010000000002,9.722702
1579011922441,-0.31401062,0.23005676,9.552703999999999
1579011922446,-0.29006958,0.23484802,9.751434
1579011922451,-0.29725647,0.23484802,10.021973
