Timestamp,RSSI,Estimote TLM packet
1583855960460,-99,003e03d2aaf4265aa5cb880e0f1e22d407946440
1583855960482,-88,22eeaf86657d2312d500c103fe0142f0ffffffff
1583855960597,-88,22eeaf86657d2312d501ffffffff522444202e5f
1583855960598,-99,223e03d2aaf4265aa501ffffffffca10474c2e61
1583855960604,-103,227bb8ba833ded2db901ffffffff262444682d5e
1583855960647,-88,00eeaf86657d2312d53aa04ff581ccbd35946440
1583855960654,-98,22f32a65edd388bbd400fc42ff0283f0ffffffff
1583855960702,-100,007bb8ba833ded2db995089afaf8275421946440
1583855960772,-98,22f32a65edd388bbd401ffffffff46254a9c2f62
1583855960779,-97,003e03d2aaf4265aa5cb880e0f1e22d407946440
1583855960852,-88,00eeaf86657d2312d53aa04ff581ccbd35946440
1583855960877,-102,22f32a65edd388bbd400fc42ff0283f0ffffffff
1583855960924,-88,22eeaf86657d2312d500c202fd0142f0ffffffff
1583855961144,-91,22eeaf86657d2312d500c302fd0142f0ffffffff
1583855961257,-95,22eeaf86657d2312d501ffffffff522444202e5f
1583855961590,-94,22eeaf86657d2312d500c203fe0142f0ffffffff
1583855961612,-100,22318da9517131bfab01ffffffff131147cc2d5f
1583855961803,-94,22eeaf86657d2312d500c102fd0142f0ffffffff
1583855961903,-93,22eeaf86657d2312d501ffffffff522445202e5f
1583855962007,-92,22eeaf86657d2312d500c102fd0142f0ffffffff
1583855962050,-101,22318da9517131bfab01ffffffff131146cc2d5f
1583855962540,-87,22eeaf86657d2312d501ffffffff522449202e5f
1583855962664,-98,223e03d2aaf4265aa50002ff42085ff8ffffffff
1583855962750,-90,22eeaf86657d2312d501ffffffff522449202e5f
1583855962855,-92,22eeaf86657d2312d500c203fe0142f0ffffffff
1583855963065,-91,22eeaf86657d2312d500c102fd0142f0ffffffff
1583855963162,-88,00eeaf86657d2312d53aa04ff581ccbd35946440
1583855963168,-87,22eeaf86657d2312d501ffffffff522442202e5f
1583855963199,-100,227bb8ba833ded2db901ffffffff262449682d5e
1583855963262,-85,22eeaf86657d2312d500c202fe0142f0ffffffff
1583855963267,-86,00eeaf86657d2312d53aa04ff581ccbd35946440
1583855963304,-99,227bb8ba833ded2db900c518fa0262f0ffffffff
1583855963580,-87,22eeaf86657d2312d501ffffffff522443202e5f
1583855963587,-88,00eeaf86657d2312d53aa04ff581ccbd35946440
1583855963645,-102,223e03d2aaf4265aa501ffffffffca10454c2e61
1583855963687,-87,22eeaf86657d2312d500c102fd0142f0ffffffff
1583855963697,-87,00eeaf86657d2312d53aa04ff581ccbd35946440
1583855963751,-100,223e03d2aaf4265aa50003ff42085ff8ffffffff
1583855963797,-89,00eeaf86657d2312d53aa04ff581ccbd35946440
1583855963801,-90,22eeaf86657d2312d501ffffffff522445202e5f
1583855963825,-100,003e03d2aaf4265aa5cb880e0f1e22d407946440
1583855963900,-89,00eeaf86657d2312d53aa04ff581ccbd35946440
1583855963907,-88,22eeaf86657d2312d500c202fd0142f0ffffffff
1583855964008,-90,00eeaf86657d2312d53aa04ff581ccbd35946440
1583855964011,-91,22eeaf86657d2312d501ffffffff522444202e5f
1583855964072,-101,223e03d2aaf4265aa501ffffffffca10474c2e61
1583855964110,-92,00eeaf86657d2312d53aa04ff581ccbd35946440
1583855964115,-90,22eeaf86657d2312d500c102fe0142f0ffffffff
1583855964213,-89,00eeaf86657d2312d53aa04ff581ccbd35946440
1583855964229,-89,22eeaf86657d2312d501ffffffff522445202e5f
1583855964281,-99,223e03d2aaf4265aa501ffffffffca10464c2e61
1583855964445,-95,003e03d2aaf4265aa5cb880e0f1e22d407946440
1583855964554,-89,22eeaf86657d2312d500c202fd0142f0ffffffff
1583855964663,-93,22eeaf86657d2312d501ffffffff522446202e5f
1583855964722,-100,227bb8ba833ded2db901ffffffff262448682d5e
1583855964731,-98,00eeaf86657d2312d53aa04ff581ccbd35946440
1583855964874,-92,22eeaf86657d2312d501ffffffff522445202e5f
1583855964986,-91,22eeaf86657d2312d500c202fe0142f0ffffffff
1583855965097,-92,22eeaf86657d2312d501ffffffff522445202e5f
1583855965204,-94,22eeaf86657d2312d500c103fd0142f0ffffffff
1583855965268,-100,227bb8ba833ded2db900c519fa0262f0ffffffff
1583855965296,-100,223c53d934182ed09101ffffffff1d24414c2e62
1583855965406,-100,003e03d2aaf4265aa5cb880e0f1e22d407946440
1583855965424,-98,22eeaf86657d2312d500c103fd0142f0ffffffff
1583855965609,-99,223c53d934182ed09100c0fffb0758f0ffffffff
1583855965781,-98,223e03d2aaf4265aa501ffffffffca10474c2e61
1583855965860,-96,22eeaf86657d2312d500c102fe0142f0ffffffff
1583855965939,-98,003e03d2aaf4265aa5cb880e0f1e22d407946440
1583855965965,-97,22eeaf86657d2312d501ffffffff522444202e5f
1583855966051,-100,003e03d2aaf4265aa5cb880e0f1e22d407946440
1583855966067,-99,22eeaf86657d2312d500c202fd0142f0ffffffff
1583855966157,-100,003e03d2aaf4265aa5cb880e0f1e22d407946440
1583855966169,-97,22eeaf86657d2312d501ffffffff522444202e5f
1583855966203,-98,00eeaf86657d2312d53aa04ff581ccbd35946440
1583855966909,-95,22eeaf86657d2312d500c203fd0142f0ffffffff
1583855966912,-98,223e03d2aaf4265aa50003ff42085ff8ffffffff
1583855966914,-98,003e03d2aaf4265aa5cb880e0f1e22d407946440
1583855966975,-96,223e03d2aaf4265aa50003ff42085ff8ffffffff
1583855967059,-93,22eeaf86657d2312d501ffffffff522444202e5f
1583855967080,-96,223e03d2aaf4265aa501ffffffffca10484c2e61
1583855967300,-94,223e03d2aaf4265aa501ffffffffca10474c2e61
1583855967374,-93,22eeaf86657d2312d500c202fd0142f0ffffffff
1583855967413,-96,223e03d2aaf4265aa50002ff42085ff8ffffffff
1583855967481,-94,22eeaf86657d2312d501ffffffff522448202e5f
1583855967514,-96,223e03d2aaf4265aa501ffffffffca10464c2e61
1583855967585,-91,22eeaf86657d2312d500c101fe0142f0ffffffff
1583855967682,-89,00eeaf86657d2312d53aa04ff581ccbd35946440
