Timestamp,RSSI,Estimote TLM packet
1583852765995,-94,22eeaf86657d2312d501ffffffff512444202e5f
1583852766026,-99,223e03d2aaf4265aa50012fb400555f8ffffffff
1583852766098,-92,22eeaf86657d2312d500c103fe0243f0ffffffff
1583852766128,-97,003e03d2aaf4265aa5cb880e0f1e22d407946440
1583852766131,-99,223e03d2aaf4265aa501ffffffff951046582e61
1583852766441,-97,223e03d2aaf4265aa50011fb400555f8ffffffff
1583852766523,-98,22eeaf86657d2312d500c102fc0243f0ffffffff
1583852766548,-99,223e03d2aaf4265aa501ffffffff951046582e61
1583852766633,-98,22eeaf86657d2312d501ffffffff512444202e5f
1583852766747,-91,22eeaf86657d2312d500c202fd0243f0ffffffff
1583852766790,-91,00eeaf86657d2312d53aa04ff581ccbd35946440
1583852766975,-92,22eeaf86657d2312d500c101fe0243f0ffffffff
1583852767090,-92,22eeaf86657d2312d501ffffffff512444202e5f
1583852767204,-94,22eeaf86657d2312d500c203fe0243f0ffffffff
1583852767209,-92,00eeaf86657d2312d53aa04ff581ccbd35946440
1583852767273,-105,227bb8ba833ded2db901ffffffff252447682d5e
1583852767320,-92,22eeaf86657d2312d501ffffffff512445202e5f
1583852767428,-91,22eeaf86657d2312d500c202fd0243f0ffffffff
1583852767658,-92,22eeaf86657d2312d500c202fe0243f0ffffffff
1583852767765,-101,22eeaf86657d2312d501ffffffff512444202e5f
1583852767839,-94,223e03d2aaf4265aa501ffffffff951046582e61
1583852767978,-91,22eeaf86657d2312d501ffffffff512446202e5f
1583852768087,-95,22eeaf86657d2312d500c202fd0243f0ffffffff
1583852768155,-91,00eeaf86657d2312d53aa04ff581ccbd35946440
1583852768167,-98,223e03d2aaf4265aa50010fa400555f8ffffffff
1583852768198,-92,22eeaf86657d2312d501ffffffff512444202e5f
1583852768733,-97,22eeaf86657d2312d500c202fe0243f0ffffffff
1583852768849,-94,22eeaf86657d2312d501ffffffff512444202e5f
1583852769031,-99,223e03d2aaf4265aa50011fb400555f8ffffffff
1583852769622,-96,00eeaf86657d2312d53aa04ff581ccbd35946440
1583852769623,-96,22eeaf86657d2312d500c203fd0243f0ffffffff
1583852769716,-93,22eeaf86657d2312d501ffffffff512442202e5f
1583852770027,-97,22eeaf86657d2312d500c202fd0243f0ffffffff
1583852771093,-98,22eeaf86657d2312d500c103fd0243f0ffffffff
1583852771285,-101,223e03d2aaf4265aa501ffffffff951046582e61
1583852771319,-97,22eeaf86657d2312d500c103fe0243f0ffffffff
1583852771541,-96,22eeaf86657d2312d500c103fd0243f0ffffffff
1583852771614,-94,00eeaf86657d2312d53aa04ff581ccbd35946440
1583852771704,-101,223e03d2aaf4265aa501ffffffff951046582e61
1583852771758,-98,22eeaf86657d2312d500c102fe0243f0ffffffff
1583852771823,-98,00eeaf86657d2312d53aa04ff581ccbd35946440
1583852771907,-99,223e03d2aaf4265aa501ffffffff951046582e61
1583852771925,-96,00eeaf86657d2312d53aa04ff581ccbd35946440
1583852772032,-97,00eeaf86657d2312d53aa04ff581ccbd35946440
1583852772083,-99,22eeaf86657d2312d501ffffffff512444202e5f
1583852772289,-100,22eeaf86657d2312d501ffffffff512445202e5f
